,Organ,Cell Type,Time Point,Source,Cell Count
Lung Ciliated Cell P7 LD21,Lung,Ciliated,P7,LD21,477
Lung Early Epithelium Cell E12 LD21,Lung,Early Epithelium,E12,LD21,252
Lung Early Epithelium Cell E15 LD21,Lung,Early Epithelium,E15,LD21,69
Lung Early Epithelium Cell E16 LD21,Lung,Early Epithelium,E16,LD21,155
Lung Early Epithelium Cell E18 LD21,Lung,Early Epithelium,E18,LD21,152
Lung Early Epithelium Cell P0 LD21,Lung,Early Epithelium,P0,LD21,41
Lung Early Epithelium Cell P14 LD21,Lung,Early Epithelium,P14,LD21,18
Lung Early Epithelium Cell P3 LD21,Lung,Early Epithelium,P3,LD21,20
Lung Early Epithelium Cell P5 LD21,Lung,Early Epithelium,P5,LD21,34
Lung Early Epithelium Cell P7 LD21,Lung,Early Epithelium,P7,LD21,34
Lung Lymphatic Cell E12 LD21,Lung,Lymphatic,E12,LD21,10
Lung Lymphatic Cell E15 LD21,Lung,Lymphatic,E15,LD21,10
Lung Lymphatic Cell E16 LD21,Lung,Lymphatic,E16,LD21,14
Lung Lymphatic Cell E18 LD21,Lung,Lymphatic,E18,LD21,43
Lung Lymphatic Cell P0 LD21,Lung,Lymphatic,P0,LD21,78
Lung Lymphatic Cell P14 LD21,Lung,Lymphatic,P14,LD21,30
Lung Lymphatic Cell P3 LD21,Lung,Lymphatic,P3,LD21,26
Lung Lymphatic Cell P5 LD21,Lung,Lymphatic,P5,LD21,27
Lung Lymphatic Cell P7 LD21,Lung,Lymphatic,P7,LD21,122
Lung Mesothelium Cell E12 LD21,Lung,Mesothelium,E12,LD21,106
Lung Mesothelium Cell E15 LD21,Lung,Mesothelium,E15,LD21,298
Lung Mesothelium Cell E16 LD21,Lung,Mesothelium,E16,LD21,154
Lung Mesothelium Cell E18 LD21,Lung,Mesothelium,E18,LD21,51
Lung Mesothelium Cell P0 LD21,Lung,Mesothelium,P0,LD21,185
Lung Mesothelium Cell P14 LD21,Lung,Mesothelium,P14,LD21,191
Lung Mesothelium Cell P3 LD21,Lung,Mesothelium,P3,LD21,286
Lung Mesothelium Cell P5 LD21,Lung,Mesothelium,P5,LD21,196
Lung Mesothelium Cell P7 LD21,Lung,Mesothelium,P7,LD21,425
Lung Mki67+ AT2 Cell E16 LD21,Lung,Mki67+ AT2,E16,LD21,9
Lung Mki67+ AT2 Cell E18 LD21,Lung,Mki67+ AT2,E18,LD21,8
Lung Mki67+ AT2 Cell P0 LD21,Lung,Mki67+ AT2,P0,LD21,7
Lung Mki67+ AT2 Cell P14 LD21,Lung,Mki67+ AT2,P14,LD21,3
Lung Mki67+ AT2 Cell P3 LD21,Lung,Mki67+ AT2,P3,LD21,66
Lung Mki67+ AT2 Cell P5 LD21,Lung,Mki67+ AT2,P5,LD21,170
Lung Mki67+ AT2 Cell P7 LD21,Lung,Mki67+ AT2,P7,LD21,18
Lung Myofibroblast Cell E12 LD21,Lung,Myofibroblast,E12,LD21,504
Lung Myofibroblast Cell E15 LD21,Lung,Myofibroblast,E15,LD21,1404
Lung Myofibroblast Cell E16 LD21,Lung,Myofibroblast,E16,LD21,1632
Lung Myofibroblast Cell E18 LD21,Lung,Myofibroblast,E18,LD21,1989
Lung Myofibroblast Cell P0 LD21,Lung,Myofibroblast,P0,LD21,1056
Lung Myofibroblast Cell P14 LD21,Lung,Myofibroblast,P14,LD21,2608
Lung Myofibroblast Cell P3 LD21,Lung,Myofibroblast,P3,LD21,2481
Lung Myofibroblast Cell P5 LD21,Lung,Myofibroblast,P5,LD21,3758
Lung Myofibroblast Cell P7 LD21,Lung,Myofibroblast,P7,LD21,7104
Lung Neuroendocrine Cell E12 LD21,Lung,Neuroendocrine,E12,LD21,1
Lung Neuroendocrine Cell E16 LD21,Lung,Neuroendocrine,E16,LD21,2
Lung Neuroendocrine Cell E18 LD21,Lung,Neuroendocrine,E18,LD21,2
Lung Neuroendocrine Cell P0 LD21,Lung,Neuroendocrine,P0,LD21,4
Lung Neuroendocrine Cell P14 LD21,Lung,Neuroendocrine,P14,LD21,12
Lung Neuroendocrine Cell P3 LD21,Lung,Neuroendocrine,P3,LD21,4
Lung Neuroendocrine Cell P5 LD21,Lung,Neuroendocrine,P5,LD21,5
Lung Neuroendocrine Cell P7 LD21,Lung,Neuroendocrine,P7,LD21,30
Lung Pericyte Cell E12 LD21,Lung,Pericyte,E12,LD21,17
Lung Pericyte Cell E15 LD21,Lung,Pericyte,E15,LD21,502
Lung Pericyte Cell E16 LD21,Lung,Pericyte,E16,LD21,558
Lung Pericyte Cell E18 LD21,Lung,Pericyte,E18,LD21,149
Lung Pericyte Cell P0 LD21,Lung,Pericyte,P0,LD21,332
Lung Pericyte Cell P14 LD21,Lung,Pericyte,P14,LD21,435
Lung Pericyte Cell P3 LD21,Lung,Pericyte,P3,LD21,421
Lung Pericyte Cell P5 LD21,Lung,Pericyte,P5,LD21,779
Lung Pericyte Cell P7 LD21,Lung,Pericyte,P7,LD21,1387
Lung Prolif. Myo FB Cell E12 LD21,Lung,Prolif. Myo FB,E12,LD21,1
Lung Prolif. Myo FB Cell E15 LD21,Lung,Prolif. Myo FB,E15,LD21,53
Lung Prolif. Myo FB Cell E16 LD21,Lung,Prolif. Myo FB,E16,LD21,99
Lung Prolif. Myo FB Cell E18 LD21,Lung,Prolif. Myo FB,E18,LD21,77
Lung Prolif. Myo FB Cell P0 LD21,Lung,Prolif. Myo FB,P0,LD21,131
Lung Prolif. Myo FB Cell P14 LD21,Lung,Prolif. Myo FB,P14,LD21,30
Lung Prolif. Myo FB Cell P3 LD21,Lung,Prolif. Myo FB,P3,LD21,343
Lung Prolif. Myo FB Cell P5 LD21,Lung,Prolif. Myo FB,P5,LD21,308
Lung Prolif. Myo FB Cell P7 LD21,Lung,Prolif. Myo FB,P7,LD21,481
Lung Prolif. Wnt2+ FB Cell E12 LD21,Lung,Prolif. Wnt2+ FB,E12,LD21,5
Lung Prolif. Wnt2+ FB Cell E15 LD21,Lung,Prolif. Wnt2+ FB,E15,LD21,1457
Lung Prolif. Wnt2+ FB Cell E16 LD21,Lung,Prolif. Wnt2+ FB,E16,LD21,389
Lung Prolif. Wnt2+ FB Cell E18 LD21,Lung,Prolif. Wnt2+ FB,E18,LD21,78
Lung Prolif. Wnt2+ FB Cell P0 LD21,Lung,Prolif. Wnt2+ FB,P0,LD21,139
Lung Prolif. Wnt2+ FB Cell P14 LD21,Lung,Prolif. Wnt2+ FB,P14,LD21,7
Lung Prolif. Wnt2+ FB Cell P3 LD21,Lung,Prolif. Wnt2+ FB,P3,LD21,73
Lung Prolif. Wnt2+ FB Cell P5 LD21,Lung,Prolif. Wnt2+ FB,P5,LD21,85
Lung Prolif. Wnt2+ FB Cell P7 LD21,Lung,Prolif. Wnt2+ FB,P7,LD21,97
Lung Prolif. gCap Cell E12 LD21,Lung,Prolif. gCap,E12,LD21,94
Lung Prolif. gCap Cell E15 LD21,Lung,Prolif. gCap,E15,LD21,153
Lung Prolif. gCap Cell E16 LD21,Lung,Prolif. gCap,E16,LD21,391
Lung Prolif. gCap Cell E18 LD21,Lung,Prolif. gCap,E18,LD21,216
Lung Prolif. gCap Cell P0 LD21,Lung,Prolif. gCap,P0,LD21,247
Lung Prolif. gCap Cell P14 LD21,Lung,Prolif. gCap,P14,LD21,116
Lung Prolif. gCap Cell P3 LD21,Lung,Prolif. gCap,P3,LD21,232
Lung Prolif. gCap Cell P5 LD21,Lung,Prolif. gCap,P5,LD21,314
Lung Prolif. gCap Cell P7 LD21,Lung,Prolif. gCap,P7,LD21,382
Lung Secretory Cell E15 LD21,Lung,Secretory,E15,LD21,5
Lung Secretory Cell E16 LD21,Lung,Secretory,E16,LD21,28
Lung Secretory Cell E18 LD21,Lung,Secretory,E18,LD21,44
Lung Secretory Cell P0 LD21,Lung,Secretory,P0,LD21,16
Lung Secretory Cell P14 LD21,Lung,Secretory,P14,LD21,97
Lung Secretory Cell P3 LD21,Lung,Secretory,P3,LD21,25
Lung Secretory Cell P5 LD21,Lung,Secretory,P5,LD21,20
Lung Secretory Cell P7 LD21,Lung,Secretory,P7,LD21,237
Lung Smooth Muscle Cell E12 LD21,Lung,Smooth Muscle,E12,LD21,2
Lung Smooth Muscle Cell E15 LD21,Lung,Smooth Muscle,E15,LD21,52
Lung Smooth Muscle Cell E16 LD21,Lung,Smooth Muscle,E16,LD21,26
Lung Smooth Muscle Cell E18 LD21,Lung,Smooth Muscle,E18,LD21,7
Lung Smooth Muscle Cell P0 LD21,Lung,Smooth Muscle,P0,LD21,63
Lung Smooth Muscle Cell P14 LD21,Lung,Smooth Muscle,P14,LD21,12
Lung Smooth Muscle Cell P3 LD21,Lung,Smooth Muscle,P3,LD21,266
Lung Smooth Muscle Cell P5 LD21,Lung,Smooth Muscle,P5,LD21,433
Lung Smooth Muscle Cell P7 LD21,Lung,Smooth Muscle,P7,LD21,170
Lung Transitional Cell E12 LD21,Lung,Transitional,E12,LD21,3
Lung Transitional Cell E15 LD21,Lung,Transitional,E15,LD21,1
Lung Transitional Cell E16 LD21,Lung,Transitional,E16,LD21,15
Lung Transitional Cell E18 LD21,Lung,Transitional,E18,LD21,44
Lung Transitional Cell P0 LD21,Lung,Transitional,P0,LD21,36
Lung Transitional Cell P14 LD21,Lung,Transitional,P14,LD21,33
Lung Transitional Cell P3 LD21,Lung,Transitional,P3,LD21,8
Lung Transitional Cell P5 LD21,Lung,Transitional,P5,LD21,7
Lung Transitional Cell P7 LD21,Lung,Transitional,P7,LD21,106
Lung Venous maEC Cell E12 LD21,Lung,Venous maEC,E12,LD21,10
Lung Venous maEC Cell E15 LD21,Lung,Venous maEC,E15,LD21,23
Lung Venous maEC Cell E16 LD21,Lung,Venous maEC,E16,LD21,139
Lung Venous maEC Cell E18 LD21,Lung,Venous maEC,E18,LD21,159
Lung Venous maEC Cell P0 LD21,Lung,Venous maEC,P0,LD21,151
Lung Venous maEC Cell P14 LD21,Lung,Venous maEC,P14,LD21,190
Lung Venous maEC Cell P3 LD21,Lung,Venous maEC,P3,LD21,248
Lung Venous maEC Cell P5 LD21,Lung,Venous maEC,P5,LD21,226
Lung Venous maEC Cell P7 LD21,Lung,Venous maEC,P7,LD21,462
Lung Wnt2+ FB Cell E12 LD21,Lung,Wnt2+ FB,E12,LD21,2589
Lung Wnt2+ FB Cell E15 LD21,Lung,Wnt2+ FB,E15,LD21,5811
Lung Wnt2+ FB Cell E16 LD21,Lung,Wnt2+ FB,E16,LD21,3951
Lung Wnt2+ FB Cell E18 LD21,Lung,Wnt2+ FB,E18,LD21,4088
Lung Wnt2+ FB Cell P0 LD21,Lung,Wnt2+ FB,P0,LD21,3587
Lung Wnt2+ FB Cell P14 LD21,Lung,Wnt2+ FB,P14,LD21,521
Lung Wnt2+ FB Cell P3 LD21,Lung,Wnt2+ FB,P3,LD21,1187
Lung Wnt2+ FB Cell P5 LD21,Lung,Wnt2+ FB,P5,LD21,2512
Lung Wnt2+ FB Cell P7 LD21,Lung,Wnt2+ FB,P7,LD21,2564
Lung aCap Cell E12 LD21,Lung,aCap,E12,LD21,4
Lung aCap Cell E15 LD21,Lung,aCap,E15,LD21,1
Lung aCap Cell E16 LD21,Lung,aCap,E16,LD21,25
Lung aCap Cell E18 LD21,Lung,aCap,E18,LD21,156
Lung aCap Cell P0 LD21,Lung,aCap,P0,LD21,575
Lung aCap Cell P14 LD21,Lung,aCap,P14,LD21,669
Lung aCap Cell P3 LD21,Lung,aCap,P3,LD21,410
Lung aCap Cell P5 LD21,Lung,aCap,P5,LD21,411
Lung aCap Cell P7 LD21,Lung,aCap,P7,LD21,1167
Lung gCap Cell E12 LD21,Lung,gCap,E12,LD21,135
Lung gCap Cell E15 LD21,Lung,gCap,E15,LD21,565
Lung gCap Cell E16 LD21,Lung,gCap,E16,LD21,2460
Lung gCap Cell E18 LD21,Lung,gCap,E18,LD21,1241
Lung gCap Cell P0 LD21,Lung,gCap,P0,LD21,1848
Lung gCap Cell P14 LD21,Lung,gCap,P14,LD21,2280
Lung gCap Cell P3 LD21,Lung,gCap,P3,LD21,1298
Lung gCap Cell P5 LD21,Lung,gCap,P5,LD21,2024
Lung gCap Cell P7 LD21,Lung,gCap,P7,LD21,3717
