,Organ,Cell Type,Time Point,Source,Cell Count
Lung AT1 Cell E12 LD21,Lung,AT1,E12,LD21,1
Lung AT1 Cell E15 LD21,Lung,AT1,E15,LD21,3
Lung AT1 Cell E18 LD21,Lung,AT1,E18,LD21,4
Lung AT1 Cell P0 LD21,Lung,AT1,P0,LD21,325
Lung AT1 Cell P14 LD21,Lung,AT1,P14,LD21,38
Lung AT1 Cell P3 LD21,Lung,AT1,P3,LD21,419
Lung AT1 Cell P5 LD21,Lung,AT1,P5,LD21,258
Lung AT1 Cell P7 LD21,Lung,AT1,P7,LD21,286
Lung AT2 Cell E12 LD21,Lung,AT2,E12,LD21,29
Lung AT2 Cell E15 LD21,Lung,AT2,E15,LD21,20
Lung AT2 Cell E16 LD21,Lung,AT2,E16,LD21,81
Lung AT2 Cell E18 LD21,Lung,AT2,E18,LD21,110
Lung AT2 Cell P0 LD21,Lung,AT2,P0,LD21,644
Lung AT2 Cell P14 LD21,Lung,AT2,P14,LD21,231
Lung AT2 Cell P3 LD21,Lung,AT2,P3,LD21,1203
Lung AT2 Cell P5 LD21,Lung,AT2,P5,LD21,1041
Lung AT2 Cell P7 LD21,Lung,AT2,P7,LD21,3663
Lung Adventitial FB Cell E12 LD21,Lung,Adventitial FB,E12,LD21,176
Lung Adventitial FB Cell E15 LD21,Lung,Adventitial FB,E15,LD21,460
Lung Adventitial FB Cell E16 LD21,Lung,Adventitial FB,E16,LD21,202
Lung Adventitial FB Cell E18 LD21,Lung,Adventitial FB,E18,LD21,559
Lung Adventitial FB Cell P0 LD21,Lung,Adventitial FB,P0,LD21,663
Lung Adventitial FB Cell P14 LD21,Lung,Adventitial FB,P14,LD21,437
Lung Adventitial FB Cell P3 LD21,Lung,Adventitial FB,P3,LD21,1089
Lung Adventitial FB Cell P5 LD21,Lung,Adventitial FB,P5,LD21,612
Lung Adventitial FB Cell P7 LD21,Lung,Adventitial FB,P7,LD21,2014
Lung Arterial maEC Cell E12 LD21,Lung,Arterial maEC,E12,LD21,14
Lung Arterial maEC Cell E15 LD21,Lung,Arterial maEC,E15,LD21,18
Lung Arterial maEC Cell E16 LD21,Lung,Arterial maEC,E16,LD21,64
Lung Arterial maEC Cell E18 LD21,Lung,Arterial maEC,E18,LD21,118
Lung Arterial maEC Cell P0 LD21,Lung,Arterial maEC,P0,LD21,275
Lung Arterial maEC Cell P14 LD21,Lung,Arterial maEC,P14,LD21,145
Lung Arterial maEC Cell P3 LD21,Lung,Arterial maEC,P3,LD21,250
Lung Arterial maEC Cell P5 LD21,Lung,Arterial maEC,P5,LD21,199
Lung Arterial maEC Cell P7 LD21,Lung,Arterial maEC,P7,LD21,436
Lung Cardiomyocyte Cell E12 LD21,Lung,Cardiomyocyte,E12,LD21,5
Lung Cardiomyocyte Cell E15 LD21,Lung,Cardiomyocyte,E15,LD21,7
Lung Cardiomyocyte Cell P0 LD21,Lung,Cardiomyocyte,P0,LD21,29
Lung Cardiomyocyte Cell P14 LD21,Lung,Cardiomyocyte,P14,LD21,17
Lung Cardiomyocyte Cell P3 LD21,Lung,Cardiomyocyte,P3,LD21,8
Lung Cardiomyocyte Cell P5 LD21,Lung,Cardiomyocyte,P5,LD21,5
Lung Cardiomyocyte Cell P7 LD21,Lung,Cardiomyocyte,P7,LD21,50
Lung Ciliated Cell E15 LD21,Lung,Ciliated,E15,LD21,6
Lung Ciliated Cell E16 LD21,Lung,Ciliated,E16,LD21,8
Lung Ciliated Cell E18 LD21,Lung,Ciliated,E18,LD21,5
Lung Ciliated Cell P0 LD21,Lung,Ciliated,P0,LD21,52
Lung Ciliated Cell P14 LD21,Lung,Ciliated,P14,LD21,52
Lung Ciliated Cell P3 LD21,Lung,Ciliated,P3,LD21,47
Lung Ciliated Cell P5 LD21,Lung,Ciliated,P5,LD21,74
