SYMBOL,IONIC_RADIUS,MOD_OF_ELASTICITY,BP,MP,DENSITY,AT_WT,BCC_EFF_LAT_CNT,BCC_ENERGY,BCC_ENERGY_DIFF,BCC_FERMI,BCC_MAG_MOM,BCC_VOLUME_PA,BCC_VOLUME_DIFF,GS_BANDGAP,GS_EFF_LAT_CNT,GS_ENERGY,GS_MAG_MOM,GS_VOLUME_PA,HH_IP,HH_IR,ICSD_VOLUME,COV_RAD,ION_ERGY,ATOM_RAD,ELECT_AFF,AT_RAD,AT_VOL,MEN_NUM,N_WS_THIRD,1_ION_POT,2_ION_POT,3_ION_POT,CTE,SP_HEAT_CAP,THERMAL_COND,CONDUCTIVITY,HEAT_OF_FUSION,HEAT_OF_VAP,ELECTRONEGATIVITY,AT_NUM,PERIOD,GRP,VALENCE,IS_HEXAGONAL,IS_BCC,IS_CUBIC,IS_FCC,IS_ORTHO,IS_RHOMBO,IS_MONO,IS_TETRA,IS_ALKALI,IS_ALKALI_EARTH,IS_BORON,IS_CARBON,IS_CHALCOGEN,IS_HALOGEN,IS_HYDROGEN,IS_NOBLE_GAS,IS_PINICTIDE,IS_RARE_EARCH,IS_TRANS_METAL,S_ORBITAL,P_ORBITAL,D_ORBITAL,F-ORBITAL,STABLE_OXIDATION_STATE,IS_D_BLOCK,IS_F_BLOCK,IS_METAL,IS_METALLOID,IS_NONMETAL,ND_UNFILLED,ND_VALENCE,NF_UNFILLED,NF_VALENCE,NP_UNFILLED,NP_VALENCE,NS_UNFILLED,NS_VALENCE,N_UNFILLED
H,1.54,,20.28,13.81,0.0899,1.00797,3.5892684527252,-2.13581094,1.195479825,3.21974562,0.0,2.89,-3.725,7.853,4.73024109786315,-3.331290765,0.0,6.615,,,32.0,0.32,1312.0,0.32,72.8,0.79,14.4,92.0,1.5,13.598,0.0,0.0,0.0,14.3,0.1815,0.0,0.0585,0.4581,2.2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1
He,0.0,,4.216,0.95,0.1785,4.0026,5.37399476423835,-2.00067286,-2.00180826,1.723477125,0.0,9.7,-2.605,18.098,5.81746617618349,0.0011354,0.0,12.305,320.0,390.0,19.0,0.93,2372.3,0.5,-21.0,0.49,19.5,98.0,,24.587,54.416,0.0,0.0,5.193,0.152,0.0,0.021,0.084,0.0,2,1,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
Li,0.76,10.0,1615.0,453.7,0.53,6.941,6.41636437173361,-1.86553478,0.00435213,0.22720863,0.0,16.51,-0.083333333299997,0.0,6.42714167693916,-1.86988691,0.0,16.5933333333,290.0,420.0,21.6,1.23,520.0,1.55,59.8,2.05,13.1,1.0,0.98,5.392,76.638,122.451,46.0,3.582,84.7,11.7,3.0,147.1,0.98,3,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1
Be,0.45,301.0,3243.0,1560.0,1.85,9.01218,4.99733190984556,-3.65527191,0.0997667849999999,8.09610906,0.0,7.8,-0.0899999999999999,0.0,5.01647896242661,-3.755038695,0.0,7.89,800.0,400.0,8.1,0.9,899.4,1.12,-240.0,1.4,5.0,67.0,1.67,9.322,18.211,153.893,11.3,1.825,200.0,25.0,11.71,297.0,1.57,4,2,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0
B,0.23,441.0,4275.0,2365.0,2.34,10.811,4.60666959406459,-4.96643126,1.71126689417,10.25960696,0.0,6.11,-1.0625,1.524,4.85955885737154,-6.67769815417,0.0,7.1725,290.0,200.0,7.7,0.82,800.6,0.98,27.0,1.17,4.6,72.0,1.75,5.298,25.154,37.93,4.7,1.026,27.0,5E-12,22.6,507.8,2.04,5,2,13,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,5,1,0,2,5
C,0.16,7.0,5100.0,3825.0,2.26,12.011,4.72666300187,-4.87176209,4.337951565,8.67608379,0.0,6.6,0.96,4.496,4.4853846818164,-9.209713655,0.0,5.64,50.0,50.0,5.6,0.77,1086.4,0.91,122.3,0.91,4.58,77.0,1.77,11.26,24.383,47.887,1.0,0.709,0.0,0.07,0.0,715.0,2.55,6,2,14,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,0,0,4,2,0,2,4
N,1.71,,77.344,63.15,1.251,14.0067,4.81568940208729,-4.05718461,4.1542566,6.27497729,0.0,6.98,-7.78875,6.437,6.18236403379651,-8.21144121,0.0,14.76875,130.0,50.0,22.6,0.75,1402.3,0.92,-7.0,0.75,17.3,82.0,1.65,14.534,29.601,47.448,240.0,1.042,0.02598,0.0,0.36,2.7928,3.04,7,2,15,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,3,3,0,2,3
O,1.4,,90.188,54.8,1.429,15.9994,4.8948717693078,-2.45975161,2.297040295,3.0735335,0.0,7.33,-1.775,0.0,5.26178757307705,-4.756791905,0.0,9.105,50.0,50.0,17.3,0.73,1313.9,0.73,141.1,0.65,14.0,87.0,,13.618,35.117,54.934,780.0,0.92,0.2674,0.0,0.222,3.4109,3.44,8,2,16,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,2,4,0,2,2
F,1.33,,85.0,53.55,1.696,18.9984,5.12840741082425,-0.82794713,0.8701138275,-1.58696247,0.0,8.43,-1.2775,1.97,5.37537945761687,-1.6980609575,0.0,9.7075,150.0,150.0,16.4,0.72,1681.0,0.72,328.0,0.57,12.6,93.0,,17.422,34.97,62.707,1800.0,0.824,0.0279,0.0,0.26,3.2698,3.98,9,2,17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,5,0,2,1
Ne,0.0,,27.1,24.55,0.9,20.1797,6.70264987630741,-1.041215915,-1.135251585,-0.135856645,0.0,18.82,6.18,13.088,5.86978713699423,0.09403567,0.0,12.64,,,23.0,0.71,2080.6,0.71,-29.0,0.51,17.3,99.0,,21.564,40.962,63.45,1900.0,1.03,0.0493,0.0,0.34,1.77,0.0,10,2,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,2,0
