COMPOSITION,A_SITE_1,A_SITE_2,A_SITE_3,B_SITE_1,B_SITE_2,B_SITE_3,X_SITE,NUM_ELEMS,ENERGY_ABOVE_HULL,FORMATION_ENERGY
Ba1Sr7V8O24,Ba,Sr,,V,,,O,4,29.7477073211,-2.11333455546
Ba2Bi2Pr4Co8O24,Ba,Bi,Pr,Co,,,O,5,106.70233503,-1.31186258471
Ba2Ca6Fe8O24,Ba,Ca,,Fe,,,O,4,171.608093341,-1.43560727421
Ba2Cd2Pr4Ni8O24,Ba,Cd,Pr,Ni,,,O,5,284.898189574,-0.868639335206
Ba2Dy6Fe8O24,Ba,Dy,,Fe,,,O,4,270.007912929,-1.74680618871
Ba2Gd6Fe8O24,Ba,Gd,,Fe,,,O,4,70.9734215852,-1.90326175396
Ba2Ho6Fe8O24,Ba,Ho,,Fe,,,O,4,291.384615991,-1.73064690171
Ba2La6Co8O24,Ba,La,,Co,,,O,4,59.6349893815,-1.66353766833
Ba2La6Cr8O24,Ba,La,,Cr,,,O,4,16.6684097187,-2.24433647933
Ba2La6Fe8O24,Ba,La,,Fe,,,O,4,0,-2.00351270133
Ba2La6Ga8O24,Ba,La,,Ga,,,O,4,94.5062097102,-2.14200738633
Ba2La6Mn8O24,Ba,La,,Mn,,,O,4,43.3637207337,-2.05858400161
Ba2La6Ni8O24,Ba,La,,Ni,,,O,4,162.308582145,-1.33504304333
Ba2La6Sc8O24,Ba,La,,Sc,,,O,4,14.0944440539,-3.00209362333
Ba2La6Ti8O24,Ba,La,,Ti,,,O,4,14.8100515625,-2.83039808066
Ba2La6V8O24,Ba,La,,V,,,O,4,53.85203387,-2.35215695333
Ba2Mg6Fe8O24,Ba,Mg,,Fe,,,O,4,515.805330466,-1.01490703546
Ba2Nd6Fe8O24,Ba,Nd,,Fe,,,O,4,132.814980798,-1.81995090946
Ba2Pr6Co8O24,Ba,Pr,,Co,,,O,4,62.4940495065,-1.60742446971
Ba2Pr6Cr8O24,Ba,Pr,,Cr,,,O,4,33.6549837917,-2.12596803071
Ba2Pr6Fe8O24,Ba,Pr,,Fe,,,O,4,58.8853196728,-1.88172075271
