,Organ,Cell Type,Time Point,Source,Cell Count
Bladder Stromal Cell WK6-10 MC20,Bladder,Stromal Cell,WK6-10,MC20,953
Bladder Vascular Smooth Muscle Progenitor Cell WK6-10 MC20,Bladder,Vascular Smooth Muscle Progenitor Cell,WK6-10,MC20,13
Bladder Vascular Endothelial Cell WK6-10 MC20,Bladder,Vascular Endothelial Cell,WK6-10,MC20,80
Bladder Urothelium WK6-10 MC20,Bladder,Urothelium,WK6-10,MC20,316
Bladder Smooth Muscle Cell WK6-10 MC20,Bladder,Smooth Muscle Cell,WK6-10,MC20,131
Bladder Mesenchymal Stromal Cell WK6-10 MC20,Bladder,Mesenchymal Stromal Cell,WK6-10,MC20,357
Bladder Basal Epithelial Cell WK6-10 MC20,Bladder,Basal Epithelial Cell,WK6-10,MC20,344
Bladder Epithelial Cell WK6-10 MC20,Bladder,Epithelial Cell,WK6-10,MC20,288
Bladder Dendritic Cell WK6-10 MC20,Bladder,Dendritic Cell,WK6-10,MC20,79
Bladder Endothelial Cell WK6-10 MC20,Bladder,Endothelial Cell,WK6-10,MC20,36
Bladder Umbrella Cell WK6-10 MC20,Bladder,Umbrella Cell,WK6-10,MC20,75
Bladder Macrophage WK6-10 MC20,Bladder,Macrophage,WK6-10,MC20,44
Bladder NK Cell WK6-10 MC20,Bladder,NK Cell,WK6-10,MC20,30
Bone Marrow C Kit Monocyte Progenitor WK6-10 MC20,Bone Marrow C Kit,Monocyte Progenitor,WK6-10,MC20,2374
Bone Marrow C Kit Multipotent Progenitor WK6-10 MC20,Bone Marrow C Kit,Multipotent Progenitor,WK6-10,MC20,1596
Bone Marrow C Kit Monocyte Progenitor Cell WK6-10 MC20,Bone Marrow C Kit,Monocyte Progenitor Cell,WK6-10,MC20,4850
Bone Marrow C Kit Basophil WK6-10 MC20,Bone Marrow C Kit,Basophil,WK6-10,MC20,426
Bone Marrow C Kit Neutrophil WK6-10 MC20,Bone Marrow C Kit,Neutrophil,WK6-10,MC20,14655
Bone Marrow C Kit Erythrocyte Progenitor WK6-10 MC20,Bone Marrow C Kit,Erythrocyte Progenitor,WK6-10,MC20,1073
Bone Marrow C Kit B Cell WK6-10 MC20,Bone Marrow C Kit,B Cell,WK6-10,MC20,388
Bone Marrow C Kit Megakaryocyte Progenitor Cell WK6-10 MC20,Bone Marrow C Kit,Megakaryocyte Progenitor Cell,WK6-10,MC20,431
Bone Marrow C Kit Eosinophil Progenitor Cell WK6-10 MC20,Bone Marrow C Kit,Eosinophil Progenitor Cell,WK6-10,MC20,182
Bone Marrow C Kit Macrophage WK6-10 MC20,Bone Marrow C Kit,Macrophage,WK6-10,MC20,508
Bone Marrow Mesenchyme Proerythrocytes WK6-10 MC20,Bone Marrow Mesenchyme,Proerythrocytes,WK6-10,MC20,1522
Bone Marrow Mesenchyme Erythrocytes WK6-10 MC20,Bone Marrow Mesenchyme,Erythrocytes,WK6-10,MC20,929
Bone Marrow Mesenchyme Fibroblasts WK6-10 MC20,Bone Marrow Mesenchyme,Fibroblasts,WK6-10,MC20,333
Bone Marrow Mesenchyme Basophils WK6-10 MC20,Bone Marrow Mesenchyme,Basophils,WK6-10,MC20,244
Bone Marrow Mesenchyme Stromal Cell WK6-10 MC20,Bone Marrow Mesenchyme,Stromal Cell,WK6-10,MC20,1646
Bone Marrow Mesenchyme Granulocyte Monocyte Progenitors WK6-10 MC20,Bone Marrow Mesenchyme,Granulocyte Monocyte Progenitors,WK6-10,MC20,42
Bone Marrow Mesenchyme Neutrophil WK6-10 MC20,Bone Marrow Mesenchyme,Neutrophil,WK6-10,MC20,461
Bone Marrow Mesenchyme Erythroblast WK6-10 MC20,Bone Marrow Mesenchyme,Erythroblast,WK6-10,MC20,657
Bone Marrow Mesenchyme MSC WK6-10 MC20,Bone Marrow Mesenchyme,MSC,WK6-10,MC20,82
Bone Marrow Mesenchyme Endothelial Cells WK6-10 MC20,Bone Marrow Mesenchyme,Endothelial Cells,WK6-10,MC20,268
Bone Marrow Mesenchyme Osteoblasts WK6-10 MC20,Bone Marrow Mesenchyme,Osteoblasts,WK6-10,MC20,470
Bone Marrow Mesenchyme B Cell WK6-10 MC20,Bone Marrow Mesenchyme,B Cell,WK6-10,MC20,441
Bone Marrow Mesenchyme Eosinophils WK6-10 MC20,Bone Marrow Mesenchyme,Eosinophils,WK6-10,MC20,86
Bone Marrow Mesenchyme CXCL12 Abundant Reticular Cell WK6-10 MC20,Bone Marrow Mesenchyme,CXCL12 Abundant Reticular Cell,WK6-10,MC20,66
Bone Marrow Mesenchyme Megakaryocyte WK6-10 MC20,Bone Marrow Mesenchyme,Megakaryocyte,WK6-10,MC20,56
Bone Marrow Mesenchyme Myoblast WK6-10 MC20,Bone Marrow Mesenchyme,Myoblast,WK6-10,MC20,62
Bone Marrow Macrophage WK6-10 MC20,Bone Marrow,Macrophage,WK6-10,MC20,45
Bone Marrow Neutrophil WK6-10 MC20,Bone Marrow,Neutrophil,WK6-10,MC20,142
Bone Marrow Hematopoietic Stem Progenitor Cell WK6-10 MC20,Bone Marrow,Hematopoietic Stem Progenitor Cell,WK6-10,MC20,16
Bone Marrow B Cell WK6-10 MC20,Bone Marrow,B Cell,WK6-10,MC20,47
Bone Marrow Neutrophil Progenitor WK6-10 MC20,Bone Marrow,Neutrophil Progenitor,WK6-10,MC20,101
Bone Marrow Pre Pro B Cell WK6-10 MC20,Bone Marrow,Pre Pro B Cell,WK6-10,MC20,68
Bone Marrow Erythroblast WK6-10 MC20,Bone Marrow,Erythroblast,WK6-10,MC20,11
Bone Marrow Monocyte WK6-10 MC20,Bone Marrow,Monocyte,WK6-10,MC20,31
Bone Marrow T Cell WK6-10 MC20,Bone Marrow,T Cell,WK6-10,MC20,30
Bone Marrow Dendritic Cell WK6-10 MC20,Bone Marrow,Dendritic Cell,WK6-10,MC20,15
Bone Marrow Mast Cell WK6-10 MC20,Bone Marrow,Mast Cell,WK6-10,MC20,4
Brain Myelinating Oligodendrocyte WK6-10 MC20,Brain,Myelinating Oligodendrocyte,WK6-10,MC20,3150
Brain Astrocyte WK6-10 MC20,Brain,Astrocyte,WK6-10,MC20,199
Brain Hypothalamic Ependymal Cell WK6-10 MC20,Brain,Hypothalamic Ependymal Cell,WK6-10,MC20,9
Brain Microglia WK6-10 MC20,Brain,Microglia,WK6-10,MC20,338
Bergman Glia Astroglial Cell WK6-10 MC20,Bergman Glia,Astroglial Cell,WK6-10,MC20,30
Brain Neuron WK6-10 MC20,Brain,Neuron,WK6-10,MC20,48
Brain Oligodendrocyte Precursor Cell WK6-10 MC20,Brain,Oligodendrocyte Precursor Cell,WK6-10,MC20,72
Brain Macrophage WK6-10 MC20,Brain,Macrophage,WK6-10,MC20,124
Brain Pan GABAergic WK6-10 MC20,Brain,Pan GABAergic,WK6-10,MC20,26
Brain Schwann Cell WK6-10 MC20,Brain,Schwann Cell,WK6-10,MC20,16
Brain Granulocyte WK6-10 MC20,Brain,Granulocyte,WK6-10,MC20,26
Embryonic Mesenchyme Muscle WK6-10 MC20,Embryonic Mesenchyme,Muscle,WK6-10,MC20,228
Embryonic Mesenchyme Stromal Cell WK6-10 MC20,Embryonic Mesenchyme,Stromal Cell,WK6-10,MC20,1109
Embryonic Mesenchyme Macrophage WK6-10 MC20,Embryonic Mesenchyme,Macrophage,WK6-10,MC20,295
Embryonic Mesenchyme Endothelial Cell WK6-10 MC20,Embryonic Mesenchyme,Endothelial Cell,WK6-10,MC20,14
Embryonic Mesenchyme Erythroblast WK6-10 MC20,Embryonic Mesenchyme,Erythroblast,WK6-10,MC20,156
Embryonic Mesenchyme Skeletal Muscle WK6-10 MC20,Embryonic Mesenchyme,Skeletal Muscle,WK6-10,MC20,70
Embryonic Mesenchyme Dendritic Cell WK6-10 MC20,Embryonic Mesenchyme,Dendritic Cell,WK6-10,MC20,66
Embryonic Mesenchyme Neuron WK6-10 MC20,Embryonic Mesenchyme,Neuron,WK6-10,MC20,365
Embryonic Mesenchyme Ganglion Cell WK6-10 MC20,Embryonic Mesenchyme,Ganglion Cell,WK6-10,MC20,169
Embryonic Mesenchyme Stromal Cell Cldn11 High WK6-10 MC20,Embryonic Mesenchyme,Stromal Cell Cldn11 High,WK6-10,MC20,28
Embryonic Mesenchyme Erythroid Cell WK6-10 MC20,Embryonic Mesenchyme,Erythroid Cell,WK6-10,MC20,174
Embryonic Mesenchyme Neuronal Progenitors WK6-10 MC20,Embryonic Mesenchyme,Neuronal Progenitors,WK6-10,MC20,27
Embryonic Mesenchyme Progenitor Cell WK6-10 MC20,Embryonic Mesenchyme,Progenitor Cell,WK6-10,MC20,10
Embryonic Mesenchyme Reproductive Tissues WK6-10 MC20,Embryonic Mesenchyme,Reproductive Tissues,WK6-10,MC20,17
Embryonic Mesenchyme Lymphoid Progenitor Cell WK6-10 MC20,Embryonic Mesenchyme,Lymphoid Progenitor Cell,WK6-10,MC20,32
Embryonic Mesenchyme Neutrophil WK6-10 MC20,Embryonic Mesenchyme,Neutrophil,WK6-10,MC20,11
Embryonic Stem Cell ES WK6-10 MC20,Embryonic Stem Cell,ES,WK6-10,MC20,9967
Embryonic Stem Cell ES 2C Like WK6-10 MC20,Embryonic Stem Cell,ES 2C Like,WK6-10,MC20,24
Female Gonad) Female Fetal Gonad Cell E14.5 MC20,Female Gonad),Female Fetal Gonad Cell,E14.5,MC20,0
Female Gonad) Pluripotent Stem Cell E14.5 MC20,Female Gonad),Pluripotent Stem Cell,E14.5,MC20,0
Female Gonad) Primordial Germ Cell E14.5 MC20,Female Gonad),Primordial Germ Cell,E14.5,MC20,0
Female Gonad) Erythroblast E14.5 MC20,Female Gonad),Erythroblast,E14.5,MC20,0
Female Gonad) Mast Cell E14.5 MC20,Female Gonad),Mast Cell,E14.5,MC20,0
Female Gonad) Epithelial Cell E14.5 MC20,Female Gonad),Epithelial Cell,E14.5,MC20,0
Female Gonad) Neutrophil E14.5 MC20,Female Gonad),Neutrophil,E14.5,MC20,0
Female Gonad) Stromal Cell E14.5 MC20,Female Gonad),Stromal Cell,E14.5,MC20,0
Female Gonad) Macrophage E14.5 MC20,Female Gonad),Macrophage,E14.5,MC20,0
Brain Neuron E14.5 MC20,Brain,Neuron,E14.5,MC20,551
Brain Pyramidal Neuron Cell E14.5 MC20,Brain,Pyramidal Neuron Cell,E14.5,MC20,348
