,Organ,Cell Type,Time Point,Source,Cell Count
Brain Radial Glia E14.5 MC20,Brain,Radial Glia,E14.5,MC20,622
Brain Schwann Cell E14.5 MC20,Brain,Schwann Cell,E14.5,MC20,633
Brain Erythroblast E14.5 MC20,Brain,Erythroblast,E14.5,MC20,159
Brain Macrophage E14.5 MC20,Brain,Macrophage,E14.5,MC20,66
Brain Dopaminergic Neurons E14.5 MC20,Brain,Dopaminergic Neurons,E14.5,MC20,256
Brain Microglia E14.5 MC20,Brain,Microglia,E14.5,MC20,79
Brain Granule Neurons E14.5 MC20,Brain,Granule Neurons,E14.5,MC20,556
Brain Stromal Cell E14.5 MC20,Brain,Stromal Cell,E14.5,MC20,97
Brain Erythrocyte E14.5 MC20,Brain,Erythrocyte,E14.5,MC20,95
Brain Neural Progenitor Cell E14.5 MC20,Brain,Neural Progenitor Cell,E14.5,MC20,325
Brain Postmitotic Neurons E14.5 MC20,Brain,Postmitotic Neurons,E14.5,MC20,207
Brain Purkinje Cell E14.5 MC20,Brain,Purkinje Cell,E14.5,MC20,76
Brain Hippocampus Neurons E14.5 MC20,Brain,Hippocampus Neurons,E14.5,MC20,228
Brain Ependymal Cell E14.5 MC20,Brain,Ependymal Cell,E14.5,MC20,71
Intestine Epithelial Cell E14.5 MC20,Intestine,Epithelial Cell,E14.5,MC20,524
Intestine Neuronal Cell E14.5 MC20,Intestine,Neuronal Cell,E14.5,MC20,448
Intestine Neuronal Cells E14.5 MC20,Intestine,Neuronal Cells,E14.5,MC20,152
Intestine Enteric Muscle Cell E14.5 MC20,Intestine,Enteric Muscle Cell,E14.5,MC20,353
Intestine Stromal Cell E14.5 MC20,Intestine,Stromal Cell,E14.5,MC20,1871
Intestine Macrophage E14.5 MC20,Intestine,Macrophage,E14.5,MC20,516
Intestine Enterocyte Progenitor E14.5 MC20,Intestine,Enterocyte Progenitor,E14.5,MC20,1633
Intestine Acinar Cell E14.5 MC20,Intestine,Acinar Cell,E14.5,MC20,74
Intestine Erythroblast E14.5 MC20,Intestine,Erythroblast,E14.5,MC20,375
Intestine Enteroendocrine E14.5 MC20,Intestine,Enteroendocrine,E14.5,MC20,22
Intestine T Cell E14.5 MC20,Intestine,T Cell,E14.5,MC20,80
Intestine Endothelial Cell E14.5 MC20,Intestine,Endothelial Cell,E14.5,MC20,28
Liver Erythroblast E14.5 MC20,Liver,Erythroblast,E14.5,MC20,1846
Liver Stem And Progenitor Cell E14.5 MC20,Liver,Stem And Progenitor Cell,E14.5,MC20,174
Liver Dendritic Cell E14.5 MC20,Liver,Dendritic Cell,E14.5,MC20,154
Liver Mast Cell E14.5 MC20,Liver,Mast Cell,E14.5,MC20,42
Liver Neutrophil E14.5 MC20,Liver,Neutrophil,E14.5,MC20,310
Liver Macrophage E14.5 MC20,Liver,Macrophage,E14.5,MC20,76
Liver Hepatocyte E14.5 MC20,Liver,Hepatocyte,E14.5,MC20,52
Liver Megakaryocyte E14.5 MC20,Liver,Megakaryocyte,E14.5,MC20,23
Liver B Cell E14.5 MC20,Liver,B Cell,E14.5,MC20,22
Lung Stromal Cell E14.5 MC20,Lung,Stromal Cell,E14.5,MC20,3656
Lung Erythroblast E14.5 MC20,Lung,Erythroblast,E14.5,MC20,935
Lung Neutrophil E14.5 MC20,Lung,Neutrophil,E14.5,MC20,251
Lung Smooth Muscle Cell E14.5 MC20,Lung,Smooth Muscle Cell,E14.5,MC20,370
Lung Macrophage E14.5 MC20,Lung,Macrophage,E14.5,MC20,326
Lung Epithelial Cell E14.5 MC20,Lung,Epithelial Cell,E14.5,MC20,915
Stomach Erythroblast E14.5 MC20,Stomach,Erythroblast,E14.5,MC20,1624
Stomach Acinar Cell E14.5 MC20,Stomach,Acinar Cell,E14.5,MC20,573
Stomach Immunocyte E14.5 MC20,Stomach,Immunocyte,E14.5,MC20,183
Stomach Erythroblast Hba X HIGH E14.5 MC20,Stomach,Erythroblast Hba X HIGH,E14.5,MC20,378
Stomach Stromal Cell E14.5 MC20,Stomach,Stromal Cell,E14.5,MC20,1233
Stomach Macrophage E14.5 MC20,Stomach,Macrophage,E14.5,MC20,250
Stomach Mast Cell E14.5 MC20,Stomach,Mast Cell,E14.5,MC20,203
Stomach Muscle Cell E14.5 MC20,Stomach,Muscle Cell,E14.5,MC20,214
Stomach Neutrophil E14.5 MC20,Stomach,Neutrophil,E14.5,MC20,81
Stomach Endocrine Cell E14.5 MC20,Stomach,Endocrine Cell,E14.5,MC20,228
Stomach Epithelial Cell E14.5 MC20,Stomach,Epithelial Cell,E14.5,MC20,495
Stomach Endocrine Progenitor Cell E14.5 MC20,Stomach,Endocrine Progenitor Cell,E14.5,MC20,51
Stomach Neuron E14.5 MC20,Stomach,Neuron,E14.5,MC20,93
Stomach Progenitor Cell E14.5 MC20,Stomach,Progenitor Cell,E14.5,MC20,289
Stomach Stomach Cell E14.5 MC20,Stomach,Stomach Cell,E14.5,MC20,284
Stomach Hepatocyte Like Cell E14.5 MC20,Stomach,Hepatocyte Like Cell,E14.5,MC20,13
Kidney Distal Convoluted Tubule WK6-10 MC20,Kidney,Distal Convoluted Tubule,WK6-10,MC20,554
Kidney Distal Collecting Duct Principal Cell WK6-10 MC20,Kidney,Distal Collecting Duct Principal Cell,WK6-10,MC20,185
Kidney T Cell WK6-10 MC20,Kidney,T Cell,WK6-10,MC20,72
Kidney Proximal Tubule Brush Border Cell WK6-10 MC20,Kidney,Proximal Tubule Brush Border Cell,WK6-10,MC20,960
Kidney Proximal Tubule Cell WK6-10 MC20,Kidney,Proximal Tubule Cell,WK6-10,MC20,428
Kidney Intercalated Cells Of Collecting Duct WK6-10 MC20,Kidney,Intercalated Cells Of Collecting Duct,WK6-10,MC20,535
Kidney Thick Ascending Limb Of The Loop Of Henle WK6-10 MC20,Kidney,Thick Ascending Limb Of The Loop Of Henle,WK6-10,MC20,418
Kidney Macrophage WK6-10 MC20,Kidney,Macrophage,WK6-10,MC20,255
Kidney Stromal Cell WK6-10 MC20,Kidney,Stromal Cell,WK6-10,MC20,229
Kidney S1 Proximal Tubule Cells WK6-10 MC20,Kidney,S1 Proximal Tubule Cells,WK6-10,MC20,275
Kidney S3 Proximal Tubule Cells WK6-10 MC20,Kidney,S3 Proximal Tubule Cells,WK6-10,MC20,255
Kidney Endothelial Cell WK6-10 MC20,Kidney,Endothelial Cell,WK6-10,MC20,79
Kidney Dendritic Cell WK6-10 MC20,Kidney,Dendritic Cell,WK6-10,MC20,89
Kidney Fenestrated Endothelial Cell WK6-10 MC20,Kidney,Fenestrated Endothelial Cell,WK6-10,MC20,192
Kidney Ureteric Epithelium WK6-10 MC20,Kidney,Ureteric Epithelium,WK6-10,MC20,41
Kidney Epithelial Cell WK6-10 MC20,Kidney,Epithelial Cell,WK6-10,MC20,72
Kidney Neutrophil Progenitor WK6-10 MC20,Kidney,Neutrophil Progenitor,WK6-10,MC20,13
Kidney B Cell WK6-10 MC20,Kidney,B Cell,WK6-10,MC20,21
Liver Erythroblast WK6-10 MC20,Liver,Erythroblast,WK6-10,MC20,617
Liver Endothelial Cell WK6-10 MC20,Liver,Endothelial Cell,WK6-10,MC20,1196
Liver Granulocyte WK6-10 MC20,Liver,Granulocyte,WK6-10,MC20,194
Liver Kuppfer Cell WK6-10 MC20,Liver,Kuppfer Cell,WK6-10,MC20,1046
Liver T Cell WK6-10 MC20,Liver,T Cell,WK6-10,MC20,333
Liver Dendritic Cell WK6-10 MC20,Liver,Dendritic Cell,WK6-10,MC20,512
PC Pericentral WK6-10 MC20,PC,Pericentral,WK6-10,MC20,119
Liver B Cell WK6-10 MC20,Liver,B Cell,WK6-10,MC20,140
Liver Hepatocyte WK6-10 MC20,Liver,Hepatocyte,WK6-10,MC20,165
Liver Stromal Cell WK6-10 MC20,Liver,Stromal Cell,WK6-10,MC20,18
Liver Macrophage WK6-10 MC20,Liver,Macrophage,WK6-10,MC20,191
PP Periportal WK6-10 MC20,PP,Periportal,WK6-10,MC20,26
Liver Epithelia Cell WK6-10 MC20,Liver,Epithelia Cell,WK6-10,MC20,99
Liver Neutrophil WK6-10 MC20,Liver,Neutrophil,WK6-10,MC20,14
Liver Epithelial Cell WK6-10 MC20,Liver,Epithelial Cell,WK6-10,MC20,15
Lung Dendritic Cell WK6-10 MC20,Lung,Dendritic Cell,WK6-10,MC20,186
Lung Ig−producing B Cell WK6-10 MC20,Lung,Ig−producing B Cell,WK6-10,MC20,30
Lung Conventional Dendritic Cell WK6-10 MC20,Lung,Conventional Dendritic Cell,WK6-10,MC20,373
Lung Endothelial Cells WK6-10 MC20,Lung,Endothelial Cells,WK6-10,MC20,74
Lung Stromal Cell WK6-10 MC20,Lung,Stromal Cell,WK6-10,MC20,412
Lung T Cell WK6-10 MC20,Lung,T Cell,WK6-10,MC20,460
Lung B Cell WK6-10 MC20,Lung,B Cell,WK6-10,MC20,698
Lung Nuocyte WK6-10 MC20,Lung,Nuocyte,WK6-10,MC20,151
Lung Dividing Dendritic Cells WK6-10 MC20,Lung,Dividing Dendritic Cells,WK6-10,MC20,33
Lung Alveolar Macrophage WK6-10 MC20,Lung,Alveolar Macrophage,WK6-10,MC20,535
Lung Interstitial Macrophage WK6-10 MC20,Lung,Interstitial Macrophage,WK6-10,MC20,224
Lung Plasmacytoid Dendritic Cell WK6-10 MC20,Lung,Plasmacytoid Dendritic Cell,WK6-10,MC20,295
Lung Monocyte Progenitor Cell WK6-10 MC20,Lung,Monocyte Progenitor Cell,WK6-10,MC20,13
Lung Endothelial Cell WK6-10 MC20,Lung,Endothelial Cell,WK6-10,MC20,247
Lung Neutrophil Granulocyte WK6-10 MC20,Lung,Neutrophil Granulocyte,WK6-10,MC20,70
Lung NK Cell WK6-10 MC20,Lung,NK Cell,WK6-10,MC20,275
Lung Eosinophil Granulocyte WK6-10 MC20,Lung,Eosinophil Granulocyte,WK6-10,MC20,265
Lung Basophil WK6-10 MC20,Lung,Basophil,WK6-10,MC20,14
Lung Dividing T Cells WK6-10 MC20,Lung,Dividing T Cells,WK6-10,MC20,53
Lung Dividing Cells WK6-10 MC20,Lung,Dividing Cells,WK6-10,MC20,44
Lung Alveolar Bipotent Progenitor WK6-10 MC20,Lung,Alveolar Bipotent Progenitor,WK6-10,MC20,32
Male Gonad) Sertoli Cells E14.5 MC20,Male Gonad),Sertoli Cells,E14.5,MC20,906
Male Gonad) Smooth Muscle Cell E14.5 MC20,Male Gonad),Smooth Muscle Cell,E14.5,MC20,429
Male Gonad) Epithelial Cells E14.5 MC20,Male Gonad),Epithelial Cells,E14.5,MC20,68
Male Gonad) Premeiotic Germ Cells E14.5 MC20,Male Gonad),Premeiotic Germ Cells,E14.5,MC20,751
Male Gonad) Stromal Cell E14.5 MC20,Male Gonad),Stromal Cell,E14.5,MC20,425
Male Gonad) Dendritic Cells E14.5 MC20,Male Gonad),Dendritic Cells,E14.5,MC20,35
Male Gonad) Pre Sertoli Cells E14.5 MC20,Male Gonad),Pre Sertoli Cells,E14.5,MC20,213
Male Gonad) Leydig Cells E14.5 MC20,Male Gonad),Leydig Cells,E14.5,MC20,228
Male Gonad) Erythrocyte E14.5 MC20,Male Gonad),Erythrocyte,E14.5,MC20,168
Male Gonad) Cycling Cells E14.5 MC20,Male Gonad),Cycling Cells,E14.5,MC20,120
Male Gonad) Th Cell E14.5 MC20,Male Gonad),Th Cell,E14.5,MC20,101
Male Gonad) Neutrophil E14.5 MC20,Male Gonad),Neutrophil,E14.5,MC20,7
Male Gonad) Basophils E14.5 MC20,Male Gonad),Basophils,E14.5,MC20,21
Mesenchymal Stem Cell Cultured Mesenchymal Stem Cell WK6-10 MC20,Mesenchymal Stem Cell Cultured,Mesenchymal Stem Cell,WK6-10,MC20,7319
Muscle Neutrophil WK6-10 MC20,Muscle,Neutrophil,WK6-10,MC20,316
Muscle Erythroblast WK6-10 MC20,Muscle,Erythroblast,WK6-10,MC20,212
Muscle Granulocyte Monocyte Progenitor Cell WK6-10 MC20,Muscle,Granulocyte Monocyte Progenitor Cell,WK6-10,MC20,83
Muscle Muscle Progenitor Cell WK6-10 MC20,Muscle,Muscle Progenitor Cell,WK6-10,MC20,87
Muscle B Cell WK6-10 MC20,Muscle,B Cell,WK6-10,MC20,124
Muscle T Cell WK6-10 MC20,Muscle,T Cell,WK6-10,MC20,9
Muscle Dendritic Cell WK6-10 MC20,Muscle,Dendritic Cell,WK6-10,MC20,10
Muscle Macrophage WK6-10 MC20,Muscle,Macrophage,WK6-10,MC20,163
Muscle Stromal Cell WK6-10 MC20,Muscle,Stromal Cell,WK6-10,MC20,23
Muscle Endothelial Cell WK6-10 MC20,Muscle,Endothelial Cell,WK6-10,MC20,27
Muscle Muscle Cell WK6-10 MC20,Muscle,Muscle Cell,WK6-10,MC20,48
Brain Radial Glia P1 MC20,Brain,Radial Glia,P1,MC20,0
Brain Astrocytes P1 MC20,Brain,Astrocytes,P1,MC20,0
Brain Vascular Endothelial Cell P1 MC20,Brain,Vascular Endothelial Cell,P1,MC20,0
Brain GABAergic Neurons P1 MC20,Brain,GABAergic Neurons,P1,MC20,0
Brain Microglia P1 MC20,Brain,Microglia,P1,MC20,0
Brain Granulocyte P1 MC20,Brain,Granulocyte,P1,MC20,0
Brain Neurons P1 MC20,Brain,Neurons,P1,MC20,0
Brain Macrophage P1 MC20,Brain,Macrophage,P1,MC20,0
Brain Multiciliated Epithelial Cell P1 MC20,Brain,Multiciliated Epithelial Cell,P1,MC20,0
Brain Pyramidal Neuron Cell P1 MC20,Brain,Pyramidal Neuron Cell,P1,MC20,0
Brain Immature Neurons P1 MC20,Brain,Immature Neurons,P1,MC20,0
Brain Stromal Cell P1 MC20,Brain,Stromal Cell,P1,MC20,0
Brain Hypothalamic Ependymal Cell P1 MC20,Brain,Hypothalamic Ependymal Cell,P1,MC20,0
Brain Oligodendrocytes P1 MC20,Brain,Oligodendrocytes,P1,MC20,0
Brain Choroid Plexus Epithelium P1 MC20,Brain,Choroid Plexus Epithelium,P1,MC20,0
Calvaria Neuron P1 MC20,Calvaria,Neuron,P1,MC20,156
Calvaria Preosteoblast/Osteoblast/Bone Cell/Cartilage Cell P1 MC20,Calvaria,Preosteoblast/Osteoblast/Bone Cell/Cartilage Cell,P1,MC20,5205
Calvaria Osteoblast P1 MC20,Calvaria,Osteoblast,P1,MC20,1120
Calvaria Mast Cell P1 MC20,Calvaria,Mast Cell,P1,MC20,98
Calvaria Muscle Cell P1 MC20,Calvaria,Muscle Cell,P1,MC20,497
Calvaria Granulocyte Monocyte Progenitor Cell P1 MC20,Calvaria,Granulocyte Monocyte Progenitor Cell,P1,MC20,41
Calvaria Dividng Cell P1 MC20,Calvaria,Dividng Cell,P1,MC20,184
Calvaria Erythroblast P1 MC20,Calvaria,Erythroblast,P1,MC20,51
Calvaria Neutrophil P1 MC20,Calvaria,Neutrophil,P1,MC20,165
Calvaria Stromal Cell P1 MC20,Calvaria,Stromal Cell,P1,MC20,373
Calvaria Endothelial Cell P1 MC20,Calvaria,Endothelial Cell,P1,MC20,74
Heart Ventricle Cardiomyocyte P1 MC20,Heart,Ventricle Cardiomyocyte,P1,MC20,81
Heart Stromal Cell P1 MC20,Heart,Stromal Cell,P1,MC20,1207
Heart Left Ventricle Cardiomyocyte P1 MC20,Heart,Left Ventricle Cardiomyocyte,P1,MC20,1139
Heart Endothelial Cell P1 MC20,Heart,Endothelial Cell,P1,MC20,396
Heart Atrial Cardiomyocyte P1 MC20,Heart,Atrial Cardiomyocyte,P1,MC20,271
Heart Vascular Endothelial Cell P1 MC20,Heart,Vascular Endothelial Cell,P1,MC20,315
Heart Smooth Muscle Cell P1 MC20,Heart,Smooth Muscle Cell,P1,MC20,178
Heart Dividing Cell P1 MC20,Heart,Dividing Cell,P1,MC20,71
Heart Cardiac Muscle Cell P1 MC20,Heart,Cardiac Muscle Cell,P1,MC20,54
Heart Neutrophil P1 MC20,Heart,Neutrophil,P1,MC20,65
Heart Macrophage P1 MC20,Heart,Macrophage,P1,MC20,102
Heart Dendritic Cell P1 MC20,Heart,Dendritic Cell,P1,MC20,49
Heart Epithelial Cell P1 MC20,Heart,Epithelial Cell,P1,MC20,20
Muscle Neutrophil P1 MC20,Muscle,Neutrophil,P1,MC20,955
Muscle Chondrocyte P1 MC20,Muscle,Chondrocyte,P1,MC20,165
Muscle Macrophage P1 MC20,Muscle,Macrophage,P1,MC20,247
Muscle Mesenchymal Cell P1 MC20,Muscle,Mesenchymal Cell,P1,MC20,634
Muscle Skeletal Muscle Cell P1 MC20,Muscle,Skeletal Muscle Cell,P1,MC20,136
Muscle Mast Cell P1 MC20,Muscle,Mast Cell,P1,MC20,88
Muscle B Cell P1 MC20,Muscle,B Cell,P1,MC20,99
Muscle Erythroblast P1 MC20,Muscle,Erythroblast,P1,MC20,134
Muscle Muscle Cell P1 MC20,Muscle,Muscle Cell,P1,MC20,445
Muscle Stromal Cell P1 MC20,Muscle,Stromal Cell,P1,MC20,829
Muscle Neuron P1 MC20,Muscle,Neuron,P1,MC20,97
Muscle Adipocyte P1 MC20,Muscle,Adipocyte,P1,MC20,64
Muscle Epithelial Cell P1 MC20,Muscle,Epithelial Cell,P1,MC20,290
Muscle T Cell P1 MC20,Muscle,T Cell,P1,MC20,59
Muscle Tendon Stem/progenitor Cell P1 MC20,Muscle,Tendon Stem/progenitor Cell,P1,MC20,185
Muscle Endothelial Cell P1 MC20,Muscle,Endothelial Cell,P1,MC20,152
